#group,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,string,double,double,double,double,double,double,double,double,double,double,dateTime:RFC3339,string,double
#default,,,,,,,,,,,,,,,
,battery_level,device,floor_calib,height,height_std,hum_in,hum_out,pressure,start_calib,temp,temp_in,temp_out,time,wake_reason,wifi_rssi
,5.4,ESP32-S2,73,129.14,15.18,99.9,59.04,,18,,5.9,6.2,2024-01-05T00:05:56.719036893Z,timeout,-59
,6.4,ESP32-S2,73,130,15.32,99.8,61.43,,18,,5.9,6.34,2024-01-05T00:17:51.070834095Z,timeout,-59
,10.4,ESP32-S2,73,129.63,15.49,99.8,63.5,,18,,6,6.52,2024-01-05T00:29:44.216551663Z,timeout,-59
,11.4,ESP32-S2,73,128.89,15.01,99.8,65.21,,18,,6.2,6.7,2024-01-05T00:41:38.024333099Z,timeout,-59
,5.4,ESP32-S2,73,129.88,15.25,99.9,63.2,,18,,6.4,6.8,2024-01-05T00:53:31.551815824Z,timeout,-59
,5.4,ESP32-S2,73,129.63,15.49,99.9,57.52,,18,,6.3,6.55,2024-01-05T01:05:25.090444681Z,timeout,-59
,7.4,ESP32-S2,73,129.63,15.49,99.9,53.03,,18,,6,6.16,2024-01-05T01:17:19.19289807Z,timeout,-59
,9.4,ESP32-S2,73,130.99,14.03,99.9,55.5,,18,,5.7,6.04,2024-01-05T01:29:12.864241107Z,timeout,-60
,6.4,ESP32-S2,73,130.25,14.6,99.9,59.4,,18,,5.8,6.15,2024-01-05T01:41:06.496425527Z,timeout,-59
,6.4,ESP32-S2,73,129.75,15.24,99.9,61.69,,18,,6,6.29,2024-01-05T01:53:00.295597099Z,timeout,-59
,9.4,ESP32-S2,73,131.36,13.5,99.9,63.59,,18,,6.1,6.46,2024-01-05T02:04:54.166837377Z,timeout,-60
,5.4,ESP32-S2,73,130.12,14.46,99.9,65.31,,18,,6.3,6.64,2024-01-05T02:16:47.622356769Z,timeout,-59
,6.4,ESP32-S2,73,133.95,15.7,99.9,63.32,,18,,6.4,6.73,2024-01-05T02:28:41.63518836Z,timeout,-60
,5.4,ESP32-S2,73,130.99,14.59,99.8,58.02,,18,,6.2,6.5,2024-01-05T02:40:35.887807516Z,timeout,-59
,7.4,ESP32-S2,73,130.86,14.04,99.9,53.2,,18,,6,6.12,2024-01-05T02:52:28.803580113Z,timeout,-59
,6.4,ESP32-S2,73,130.25,14.18,99.9,55.17,,18,,5.7,5.98,2024-01-05T03:04:22.531800886Z,timeout,-59
,6.4,ESP32-S2,73,130.62,13.97,99.9,59.25,,18,,5.8,6.07,2024-01-05T03:16:16.371113348Z,timeout,-59
,5.4,ESP32-S2,73,130.37,14.11,99.9,61.51,,18,,5.9,6.22,2024-01-05T03:28:10.023554938Z,timeout,-59
,5.4,ESP32-S2,73,130.74,13.9,99.9,63.49,,18,,6,6.41,2024-01-05T03:40:04.253072504Z,timeout,-59
,6.4,ESP32-S2,73,130,14.93,99.9,65.19,,18,,6.2,6.58,2024-01-05T03:51:58.393491516Z,timeout,-59
,5.4,ESP32-S2,73,130.62,13.97,99.9,63.56,,18,,6.3,6.66,2024-01-05T04:03:52.53789667Z,timeout,-59
,7.4,ESP32-S2,73,129.63,15.49,99.9,57.37,,18,,6.2,6.41,2024-01-05T04:15:46.072909865Z,timeout,-59
,6.4,ESP32-S2,73,130.99,13.75,99.8,52.52,,18,,5.7,6,2024-01-05T04:27:41.962005393Z,timeout,-59
,7.4,ESP32-S2,73,129.75,15.24,99.9,54.29,,18,,5.6,5.83,2024-01-05T04:39:33.637210062Z,timeout,-59
,5.4,ESP32-S2,73,129.88,15.38,99.9,58.62,,18,,5.5,5.92,2024-01-05T04:51:27.783515616Z,timeout,-59
,6.4,ESP32-S2,73,130.62,14.19,99.9,61.05,,18,,5.6,6.06,2024-01-05T05:03:21.825394536Z,timeout,-59
,6.4,ESP32-S2,73,127.16,13.87,99.9,62.96,,18,,5.9,6.23,2024-01-05T05:15:15.774111145Z,timeout,-59
,5.4,ESP32-S2,73,130.12,14.46,99.9,64.84,,18,,6.1,6.4,2024-01-05T05:27:10.323230611Z,timeout,-59
,6.4,ESP32-S2,73,129.75,15.24,99.9,65.2,,18,,6.2,6.56,2024-01-05T05:39:03.851066368Z,timeout,-59
,6.4,ESP32-S2,73,130.74,14.11,99.9,60.21,,18,,6.2,6.48,2024-01-05T05:50:58.508293065Z,timeout,-60
,5.4,ESP32-S2,73,130.86,13.82,99.9,54.85,,18,,6,6.14,2024-01-05T06:02:51.320605368Z,timeout,-60
,9.4,ESP32-S2,73,130.25,14.18,99.9,53.52,,18,,5.6,5.84,2024-01-05T06:14:45.105199899Z,timeout,-59
,5.4,ESP32-S2,73,130.25,14.18,99.9,57.64,,18,,5.6,5.87,2024-01-05T06:26:38.381639951Z,timeout,-59
,6.4,ESP32-S2,73,130.12,14.18,99.9,60.54,,18,,5.7,6,2024-01-05T06:38:31.907526483Z,timeout,-59
,7.4,ESP32-S2,73,129.51,15.42,99.9,62.66,,18,,5.8,6.16,2024-01-05T06:50:25.341019873Z,timeout,-59
,6.4,ESP32-S2,73,129.63,15.49,99.9,64.51,,18,,6,6.33,2024-01-05T07:02:19.481397108Z,timeout,-59
,6.4,ESP32-S2,73,128.77,15.18,99.9,66.02,,18,,6.2,6.51,2024-01-05T07:14:13.419566367Z,timeout,-59
,7.4,ESP32-S2,73,128.89,15.07,99.9,65.06,,18,,6.4,7,2024-01-05T07:26:07.769811041Z,timeout,-60
,5.4,ESP32-S2,73,129.63,15.49,99.9,57.82,,18,,6.3,6.6,2024-01-05T07:38:01.615435876Z,timeout,-60
