Unnamed: 0,battery_level,device,floor_calib,height,height_std,hum_in,hum_out,pressure,start_calib,temp,temp_in,temp_out,time,wake_reason,wifi_rssi
,,ESP32-S2,,,,,,930.8,,23.8,,,2023-12-27 15:54:50.909158100+00:00,,
,,ESP32-S2,,,,,,1074.1,,22.2,,,2023-12-27 15:57:56.132443536+00:00,,
,,ESP32-S2,,,,,,996.4,,22.7,,,2023-12-27 16:00:40.092335126+00:00,,
,,ESP32-S2,,,,,,993.8,,26.7,,,2023-12-27 16:01:00.990417106+00:00,,
,,ESP32-S2,,,,,,1053.7,,22.3,,,2023-12-27 16:02:24.678934106+00:00,,
,,ESP32-S2,,,,,,1019.0,,26.3,,,2023-12-27 16:03:10.022113306+00:00,,
,,ESP32-S2,,,,,,1071.1,,20.4,,,2023-12-27 16:08:06.857593112+00:00,,
,,ESP32-S2,,,,,,1082.7,,25.9,,,2023-12-27 17:38:31.687937429+00:00,,
,,ESP32-S2,,,,,,964.7,,22.1,,,2023-12-27 17:40:36.663455274+00:00,,
,,ESP32-S2,,,,,,1090.5,,20.5,,,2023-12-27 17:43:07.218518844+00:00,,
,,ESP32-S2,,,,,,915.0,,27.1,,,2023-12-27 17:48:39.573695724+00:00,,
,,ESP32-S2,,,,,,967.9,,27.3,,,2023-12-27 17:49:04.186513625+00:00,,
,,ESP32-S2,,,,,,945.9,,20.4,,,2023-12-27 18:13:56.257465035+00:00,,
,,ESP32-S2,,,,,,982.9,,24.9,,,2023-12-27 19:01:04.990012701+00:00,,
,100.0,ESP32_S2,110.0,,13.96,99.9,43.24,,,,25.7,32.33,2023-12-30 15:49:06.461103341+00:00,reset,-50.0
,100.0,ESP32_S2,110.0,,10.48,99.9,42.57,,,,25.6,32.6,2023-12-30 15:50:23.195761001+00:00,reset,-47.0
,100.0,ESP32_S2,110.0,,13.01,99.9,41.84,,,,24.0,30.22,2023-12-30 16:06:55.769825176+00:00,reset,-48.0
,88.4,ESP32-S2,110.0,,12.61,99.9,42.08,,,,23.6,28.32,2023-12-30 16:14:18.341789997+00:00,reset,-57.0
,85.4,ESP32-S2,110.0,,14.08,99.9,49.13,,,,23.0,24.38,2023-12-30 16:18:13.380888203+00:00,timeout,-56.0
,83.4,ESP32-S2,110.0,,14.33,99.5,51.64,,,,22.9,23.66,2023-12-30 16:22:11.026028765+00:00,timeout,-57.0
,79.4,ESP32-S2,110.0,,13.92,96.6,52.91,,,,22.8,23.26,2023-12-30 16:26:09.616145302+00:00,timeout,-56.0
,83.4,ESP32-S2,110.0,,13.94,93.7,53.32,,,,22.6,23.03,2023-12-30 16:30:07.905092586+00:00,timeout,-57.0
,79.4,ESP32-S2,110.0,,13.63,91.4,53.6,,,,22.5,22.86,2023-12-30 16:34:05.711095503+00:00,timeout,-56.0
,78.4,ESP32-S2,110.0,,14.08,89.2,53.46,,,,22.3,22.74,2023-12-30 16:38:04.069048131+00:00,timeout,-56.0
,81.4,ESP32-S2,110.0,,14.87,86.7,53.25,,,,22.2,22.62,2023-12-30 16:42:02.048086043+00:00,timeout,-56.0
,80.4,ESP32-S2,73.0,,9.37,85.3,52.23,,,,22.2,22.59,2023-12-30 16:44:56.953617780+00:00,left,-59.0
,78.4,ESP32-S2,73.0,100.0,16.22,85.8,54.91,,18.0,,22.3,23.16,2023-12-30 16:45:17.942954250+00:00,middle,-52.0
,81.4,ESP32-S2,73.0,98.4,16.16,93.9,48.72,,18.0,,22.1,21.58,2023-12-30 16:51:14.506290425+00:00,timeout,-67.0
,81.4,ESP32-S2,73.0,101.73,16.48,96.5,49.03,,18.0,,21.6,21.03,2023-12-30 16:55:12.386126922+00:00,timeout,-66.0
,81.4,ESP32-S2,73.0,99.01,16.57,98.4,49.97,,18.0,,21.0,20.59,2023-12-30 16:59:11.082828024+00:00,timeout,-65.0
,78.4,ESP32-S2,73.0,100.99,15.45,99.9,50.35,,18.0,,20.7,20.28,2023-12-30 17:03:09.374522906+00:00,timeout,-65.0
,78.4,ESP32-S2,73.0,102.47,15.97,99.9,50.6,,18.0,,20.3,20.01,2023-12-30 17:07:07.149426230+00:00,timeout,-65.0
,77.4,ESP32-S2,73.0,101.98,15.69,99.9,51.47,,18.0,,20.0,19.8,2023-12-30 17:11:05.325943370+00:00,timeout,-65.0
,78.4,ESP32-S2,73.0,101.36,15.88,99.9,51.84,,18.0,,19.8,19.66,2023-12-30 17:15:03.512722506+00:00,timeout,-58.0
,80.4,ESP32-S2,73.0,100.49,15.29,99.9,51.86,,18.0,,19.5,19.6,2023-12-30 17:19:02.073790942+00:00,timeout,-65.0
,78.4,ESP32-S2,73.0,100.86,15.36,99.9,53.07,,18.0,,19.4,19.55,2023-12-30 17:23:00.503333253+00:00,timeout,-65.0
,80.4,ESP32-S2,73.0,102.47,16.83,99.9,52.35,,18.0,,19.3,19.5,2023-12-30 17:26:58.886229959+00:00,timeout,-65.0
,78.4,ESP32-S2,73.0,100.62,15.57,99.9,52.75,,18.0,,19.2,19.46,2023-12-30 17:30:56.968173680+00:00,timeout,-65.0
,75.4,ESP32-S2,73.0,100.74,15.27,99.9,53.08,,18.0,,19.2,19.42,2023-12-30 17:34:55.151171540+00:00,timeout,-65.0
,75.4,ESP32-S2,73.0,100.49,15.29,99.9,51.81,,18.0,,19.2,19.39,2023-12-30 17:38:53.332099001+00:00,timeout,-66.0
,74.4,ESP32-S2,73.0,100.99,15.25,99.9,52.01,,18.0,,19.0,19.36,2023-12-30 17:42:51.514670576+00:00,timeout,-65.0
,79.4,ESP32-S2,73.0,100.12,15.33,99.9,52.39,,18.0,,19.0,19.3,2023-12-30 17:46:49.493883817+00:00,timeout,-65.0
,78.4,ESP32-S2,73.0,100.37,15.19,99.9,52.08,,18.0,,19.1,19.25,2023-12-30 17:50:47.780154563+00:00,timeout,-65.0
,74.4,ESP32-S2,73.0,101.11,14.87,99.9,52.37,,18.0,,18.9,19.2,2023-12-30 17:54:45.863080676+00:00,timeout,-65.0
,78.4,ESP32-S2,73.0,101.98,14.36,99.9,52.08,,18.0,,18.9,19.15,2023-12-30 17:58:44.252686673+00:00,timeout,-65.0
,73.4,ESP32-S2,73.0,100.25,15.49,99.9,51.91,,18.0,,18.8,19.1,2023-12-30 18:02:42.337861615+00:00,timeout,-64.0
,77.4,ESP32-S2,73.0,103.95,14.81,99.9,52.29,,18.0,,18.8,19.06,2023-12-30 18:06:40.729404484+00:00,timeout,-64.0
,76.4,ESP32-S2,73.0,101.6,15.14,99.9,51.81,,18.0,,18.7,19.02,2023-12-30 18:10:38.194361207+00:00,timeout,-63.0
,76.4,ESP32-S2,73.0,100.99,14.99,99.9,51.87,,18.0,,18.7,18.98,2023-12-30 18:14:36.476519254+00:00,timeout,-65.0
,76.4,ESP32-S2,73.0,101.11,14.53,99.9,51.65,,18.0,,18.6,18.95,2023-12-30 18:18:35.072564614+00:00,timeout,-64.0
,75.4,ESP32-S2,73.0,101.98,14.84,99.9,51.88,,18.0,,18.6,18.92,2023-12-30 18:22:33.468702774+00:00,timeout,-65.0
,73.4,ESP32-S2,73.0,101.23,14.82,99.9,51.9,,18.0,,18.6,18.93,2023-12-30 18:26:31.138536187+00:00,timeout,-65.0
,76.4,ESP32-S2,73.0,100.25,15.23,99.9,51.99,,18.0,,18.6,18.97,2023-12-30 18:30:29.831785650+00:00,timeout,-63.0
