time,battery_level
2023-12-30 15:49:06.461103341+00:00,100.0
2023-12-30 15:50:23.195761001+00:00,100.0
2023-12-30 16:06:55.769825176+00:00,100.0
2023-12-30 16:14:18.341789997+00:00,88.4
2023-12-30 16:18:13.380888203+00:00,85.4
2023-12-30 16:22:11.026028765+00:00,83.4
2023-12-30 16:26:09.616145302+00:00,79.4
2023-12-30 16:30:07.905092586+00:00,83.4
2023-12-30 16:34:05.711095503+00:00,79.4
2023-12-30 16:38:04.069048131+00:00,78.4
2023-12-30 16:42:02.048086043+00:00,81.4
2023-12-30 16:44:56.953617780+00:00,80.4
2023-12-30 16:45:17.942954250+00:00,78.4
2023-12-30 16:51:14.506290425+00:00,81.4
2023-12-30 16:55:12.386126922+00:00,81.4
2023-12-30 16:59:11.082828024+00:00,81.4
2023-12-30 17:03:09.374522906+00:00,78.4
2023-12-30 17:07:07.149426230+00:00,78.4
2023-12-30 17:11:05.325943370+00:00,77.4
2023-12-30 17:15:03.512722506+00:00,78.4
2023-12-30 17:19:02.073790942+00:00,80.4
2023-12-30 17:23:00.503333253+00:00,78.4
2023-12-30 17:26:58.886229959+00:00,80.4
2023-12-30 17:30:56.968173680+00:00,78.4
2023-12-30 17:34:55.151171540+00:00,75.4
2023-12-30 17:38:53.332099001+00:00,75.4
2023-12-30 17:42:51.514670576+00:00,74.4
2023-12-30 17:46:49.493883817+00:00,79.4
2023-12-30 17:50:47.780154563+00:00,78.4
2023-12-30 17:54:45.863080676+00:00,74.4
2023-12-30 17:58:44.252686673+00:00,78.4
2023-12-30 18:02:42.337861615+00:00,73.4
2023-12-30 18:06:40.729404484+00:00,77.4
2023-12-30 18:10:38.194361207+00:00,76.4
2023-12-30 18:14:36.476519254+00:00,76.4
2023-12-30 18:18:35.072564614+00:00,76.4
2023-12-30 18:22:33.468702774+00:00,75.4
2023-12-30 18:26:31.138536187+00:00,73.4
2023-12-30 18:30:29.831785650+00:00,76.4
2023-12-30 18:34:27.674651602+00:00,73.4
2023-12-30 18:38:25.923094551+00:00,78.4
2023-12-30 18:42:24.281121036+00:00,72.4
2023-12-30 18:46:22.462211026+00:00,78.4
2023-12-30 18:50:20.751113733+00:00,76.4
2023-12-30 18:54:18.317052087+00:00,72.4
2023-12-30 18:58:17.234446631+00:00,74.4
2023-12-30 19:02:15.522359847+00:00,76.4
2023-12-30 19:06:13.715835902+00:00,76.4
2023-12-30 19:10:11.687269326+00:00,75.4
2023-12-30 19:14:10.537354297+00:00,76.4
2023-12-30 19:18:08.243733346+00:00,75.4
2023-12-30 19:22:05.916336643+00:00,75.4
2023-12-30 19:26:04.612320442+00:00,75.4
2023-12-30 19:30:02.706003346+00:00,75.4
2023-12-30 19:34:00.878644253+00:00,72.4
2023-12-30 19:37:59.063132075+00:00,76.4
2023-12-30 19:41:56.632438601+00:00,76.4
2023-12-30 19:45:54.720496414+00:00,76.4
2023-12-30 19:49:53.514557398+00:00,74.4
2023-12-30 19:53:51.083218386+00:00,76.4
2023-12-30 19:57:49.924534934+00:00,71.4
2023-12-30 20:01:47.834748082+00:00,73.4
2023-12-30 20:05:46.154669322+00:00,74.4
2023-12-30 20:09:44.235401223+00:00,76.4
2023-12-30 20:13:42.019839413+00:00,76.4
2023-12-30 20:17:40.703800941+00:00,71.4
2023-12-30 20:21:38.273880878+00:00,71.4
2023-12-30 20:25:36.975572522+00:00,74.4
2023-12-30 20:29:34.641706597+00:00,75.4
2023-12-30 20:33:32.826949975+00:00,76.4
2023-12-30 20:37:31.520569830+00:00,72.4
2023-12-30 20:41:29.706286025+00:00,73.4
2023-12-30 20:45:27.990196979+00:00,73.4
2023-12-30 20:49:26.379667557+00:00,71.4
2023-12-30 20:53:24.771727917+00:00,75.4
2023-12-30 20:57:22.953832749+00:00,75.4
2023-12-30 21:01:20.938365396+00:00,71.4
2023-12-30 21:05:18.708803466+00:00,73.4
2023-12-30 21:09:17.300537318+00:00,70.4
2023-12-30 21:13:15.236473585+00:00,71.4
2023-12-30 21:17:13.568570994+00:00,73.4
2023-12-30 21:21:11.757795640+00:00,71.4
2023-12-30 21:25:09.501494484+00:00,73.4
2023-12-30 21:29:07.967440580+00:00,73.4
2023-12-30 21:33:06.304969001+00:00,71.4
2023-12-30 21:37:04.601289303+00:00,73.4
2023-12-30 21:41:02.264984893+00:00,72.4
2023-12-30 21:45:00.864094150+00:00,74.4
2023-12-30 21:48:59.251982103+00:00,70.4
2023-12-30 21:52:57.429778912+00:00,72.4
2023-12-30 21:56:55.160814448+00:00,76.4
2023-12-30 22:00:53.591469757+00:00,70.4
2023-12-30 22:04:51.704665447+00:00,72.4
2023-12-30 22:08:49.959395262+00:00,70.4
2023-12-30 22:12:47.601270952+00:00,72.4
2023-12-30 22:16:46.479580545+00:00,74.4
2023-12-30 22:20:43.870506631+00:00,69.4
2023-12-30 22:24:41.983084404+00:00,69.4
2023-12-30 22:28:40.887363932+00:00,70.4
2023-12-30 22:32:38.329459124+00:00,73.4
2023-12-30 22:36:37.153439922+00:00,74.4
2023-12-30 22:40:35.132604328+00:00,74.4
2023-12-30 22:44:32.918900618+00:00,74.4
2023-12-30 22:48:31.813191703+00:00,72.4
2023-12-30 22:52:29.889678296+00:00,69.4
2023-12-30 22:56:28.056093707+00:00,71.4
2023-12-30 23:00:25.854213085+00:00,73.4
2023-12-30 23:04:23.933686200+00:00,74.4
2023-12-30 23:08:22.626262811+00:00,72.4
2023-12-30 23:12:20.365365398+00:00,70.4
2023-12-30 23:16:18.657809900+00:00,69.4
2023-12-30 23:20:17.343563962+00:00,72.4
2023-12-30 23:24:15.059926232+00:00,69.4
2023-12-30 23:28:13.858916612+00:00,72.4
2023-12-30 23:32:11.835989+00:00,72.4
2023-12-30 23:36:09.652648308+00:00,73.4
2023-12-30 23:40:08.374231030+00:00,70.4
