,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
0,0 days 00:00:00,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
1,0 days 00:00:00.187504,123,141,139,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
2,0 days 00:00:00.390625,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
3,0 days 00:00:00.578128,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
4,0 days 00:00:00.781257,123,141,139,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
5,0 days 00:00:00.984375,123,141,139,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
6,0 days 00:00:01.171872,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
7,0 days 00:00:01.374997,123,141,139,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
8,0 days 00:00:01.578126,123,141,139,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
9,0 days 00:00:01.765622,123,141,139,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
10,0 days 00:00:01.968746,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
11,0 days 00:00:02.171877,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
12,0 days 00:00:02.359371,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
13,0 days 00:00:02.562498,123,141,139,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
14,0 days 00:00:02.765625,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
15,0 days 00:00:02.953122,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
16,0 days 00:00:03.156247,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
17,0 days 00:00:03.359375,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
18,0 days 00:00:03.546872,123,141,140,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
19,0 days 00:00:03.749999,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
20,0 days 00:00:03.953125,123,141,139,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
21,0 days 00:00:04.140621,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
22,0 days 00:00:04.343749,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
23,0 days 00:00:04.546875,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
24,0 days 00:00:04.734369,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
25,0 days 00:00:04.937497,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
26,0 days 00:00:05.140625,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
27,0 days 00:00:05.328122,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
28,0 days 00:00:05.531247,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
29,0 days 00:00:05.734375,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
30,0 days 00:00:05.921873,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
31,0 days 00:00:06.125000,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
32,0 days 00:00:06.328125,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
33,0 days 00:00:06.515622,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
34,0 days 00:00:06.718751,123,141,139,133,127,151,152,151,150,255,255,255,255,255,255,255,255,255
35,0 days 00:00:06.921875,123,141,139,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
36,0 days 00:00:07.109378,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
37,0 days 00:00:07.312500,123,141,139,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
38,0 days 00:00:07.515625,123,141,139,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
39,0 days 00:00:07.703125,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
40,0 days 00:00:07.906251,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
41,0 days 00:00:08.109375,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
42,0 days 00:00:08.296850,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
43,0 days 00:00:08.500000,123,141,139,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
44,0 days 00:00:08.703126,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
45,0 days 00:00:08.890621,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
46,0 days 00:00:09.093749,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
47,0 days 00:00:09.283757,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
48,0 days 00:00:09.486888,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
49,0 days 00:00:09.690010,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
50,0 days 00:00:09.877479,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
51,0 days 00:00:10.080639,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
52,0 days 00:00:10.283758,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
53,0 days 00:00:10.471263,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
54,0 days 00:00:10.674390,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
55,0 days 00:00:10.877508,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
56,0 days 00:00:11.065007,123,141,139,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
57,0 days 00:00:11.268139,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
58,0 days 00:00:11.471258,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
59,0 days 00:00:11.658764,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
60,0 days 00:00:11.861847,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
61,0 days 00:00:12.065009,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
62,0 days 00:00:12.252514,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
63,0 days 00:00:12.455638,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
64,0 days 00:00:12.658759,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
65,0 days 00:00:12.846258,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
66,0 days 00:00:13.049389,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
67,0 days 00:00:13.252509,123,141,139,133,127,151,152,151,150,255,255,255,255,255,255,255,255,255
68,0 days 00:00:13.440007,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
69,0 days 00:00:13.643097,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
70,0 days 00:00:13.846258,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
71,0 days 00:00:14.033763,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
72,0 days 00:00:14.236883,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
73,0 days 00:00:14.440009,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
74,0 days 00:00:14.627513,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
75,0 days 00:00:14.830597,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
76,0 days 00:00:15.033758,123,141,140,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
77,0 days 00:00:15.221264,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
78,0 days 00:00:15.424356,123,141,140,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
79,0 days 00:00:15.627509,123,141,139,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
80,0 days 00:00:15.815012,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
81,0 days 00:00:16.018133,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
82,0 days 00:00:16.221260,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
