,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
0,0 days 00:00:00,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
1,0 days 00:00:00.187525,106,121,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
2,0 days 00:00:00.390600,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
3,0 days 00:00:00.578124,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
4,0 days 00:00:00.781235,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
5,0 days 00:00:00.984311,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
6,0 days 00:00:01.171835,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
7,0 days 00:00:01.374968,106,120,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
8,0 days 00:00:01.578023,106,120,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
9,0 days 00:00:01.765547,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
10,0 days 00:00:01.968626,106,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
11,0 days 00:00:02.171737,106,121,121,111,107,133,135,134,134,255,255,255,255,255,255,255,255,255
12,0 days 00:00:02.359264,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
13,0 days 00:00:02.562334,106,121,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
14,0 days 00:00:02.765446,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
15,0 days 00:00:02.952972,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
16,0 days 00:00:03.156046,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
17,0 days 00:00:03.359158,106,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
18,0 days 00:00:03.546683,106,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
19,0 days 00:00:03.749755,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
20,0 days 00:00:03.952868,106,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
21,0 days 00:00:04.140393,106,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
22,0 days 00:00:04.343469,106,120,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
23,0 days 00:00:04.530993,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
24,0 days 00:00:04.734113,106,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
25,0 days 00:00:04.937180,106,120,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
26,0 days 00:00:05.124674,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
27,0 days 00:00:05.327816,105,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
28,0 days 00:00:05.530892,106,120,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
29,0 days 00:00:05.718416,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
30,0 days 00:00:05.921490,106,120,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
